n_vertices;n_edges;degree_mean;degree_max;degree_min;avg_local_clustering;global_clustering;avg_shortest_path_length;powerlaw_alpha;powerlaw_k_min;powerlaw_n_tail;powerlaw_ks;powerlaw_valid;powerlaw_reason;seed;beta;gamma;dim
100;359;7.18;99;1;0.7504957833949429;0.21220764403879064;1.9274747474747476;3.2875388322333;8;21;0.19047619047619047;True;ok;0;0.01;0.75;2
100;488;9.76;43;3;0.678941753992162;0.39177025289327044;2.430909090909091;3.070905041880649;11;25;0.08;True;ok;1;0.01;0.75;2
100;413;8.26;59;1;0.6525312048532984;0.36519434628975267;2.442828282828283;3.546505428621401;9;30;0.13333333333333333;True;ok;2;0.01;0.75;2
100;364;7.28;54;0;0.7148728382681651;0.2783674963396779;2.3046794475365906;2.9252832301835325;4;84;0.17066868135993854;True;ok;3;0.01;0.75;2
100;338;6.76;93;1;0.7482492820683998;0.21163939487496142;2.025050505050505;2.875816623137884;4;73;0.21872945973493046;True;ok;4;0.01;0.75;2
100;479;9.58;99;3;0.7766716256757931;0.2706339429546101;1.9032323232323232;2.8970701375026398;5;86;0.1744186046511628;True;ok;5;0.01;0.75;2
100;409;8.18;69;0;0.714620856523414;0.348790658882402;2.3366316223459083;2.6050691399374566;4;89;0.16620788579667234;True;ok;6;0.01;0.75;2
100;316;6.32;29;1;0.6273168225171266;0.43623905595736584;3.151111111111111;2.8576060904048504;4;76;0.18703472987481534;True;ok;7;0.01;0.75;2
100;367;7.34;50;1;0.6896731823004275;0.34818652849740933;2.693939393939394;3.0212253059191463;8;28;0.13250537729991085;True;ok;8;0.01;0.75;2
100;418;8.36;76;2;0.7832432499214943;0.2978257896895939;2.1937373737373735;3.107145701518449;5;78;0.1794871794871795;True;ok;9;0.01;0.75;2
100;373;7.46;99;1;0.7561020254501015;0.22523763603802177;1.9246464646464647;2.99860462651303;4;90;0.18888888888888888;True;ok;0;0.01;0.8;2
100;534;10.68;48;3;0.6877977918134291;0.3901896511355654;2.302020202020202;3.1604060213741305;12;26;0.11538461538461539;True;ok;1;0.01;0.8;2
100;447;8.94;71;1;0.6778202312297826;0.3389806173725772;2.26;2.836812656373435;5;83;0.1477452387166276;True;ok;2;0.01;0.8;2
100;407;8.14;71;1;0.7437366403683917;0.24932144241954246;2.1098989898989897;2.7220344990670746;4;87;0.18111521799410252;True;ok;3;0.01;0.8;2
100;361;7.22;99;1;0.7695586237684863;0.21784989858012171;1.9270707070707072;3.3626428917194526;5;67;0.17088110137619314;True;ok;4;0.01;0.8;2
100;509;10.18;99;3;0.7755311977630938;0.28159779138987145;1.897171717171717;2.7507729549025983;5;88;0.13690882799463533;True;ok;5;0.01;0.8;2
100;448;8.96;85;1;0.7288039600379079;0.3218405537041784;2.11010101010101;2.8674075428338393;5;82;0.15853658536585366;True;ok;6;0.01;0.8;2
