n_vertices;n_edges;degree_mean;degree_max;degree_min;avg_local_clustering;global_clustering;avg_shortest_path_length;powerlaw_alpha;powerlaw_k_min;powerlaw_n_tail;seed;beta;gamma;dim
100;999;19.98;39;7;0.6143863197342567;0.5284060312331718;2.0721212121212123;4.770708015218367;20;51;2;0.05;0.15;2
100;777;15.54;36;3;0.5903489721419406;0.504392608300515;2.2711111111111113;4.880260584344082;16;42;3;0.05;0.15;2
100;717;14.34;38;4;0.5913670880620532;0.5019285163281049;2.3084848484848486;5.029946949151661;16;36;4;0.05;0.15;2
100;957;19.14;86;8;0.6467126200222302;0.498593035525853;1.912121212121212;4.940033060026691;23;29;5;0.05;0.15;2
100;870;17.4;45;4;0.6271820414260884;0.5132339184504485;2.1636363636363636;10.052495080795524;32;10;6;0.05;0.15;2
100;821;16.42;36;4;0.6148426137502598;0.508100147275405;2.1915151515151514;3.005224649105891;10;87;7;0.05;0.15;2
100;805;16.1;37;5;0.5898601036256745;0.5088792423046566;2.243232323232323;6.15772050255783;24;19;8;0.05;0.15;2
100;889;17.78;44;5;0.6174963080268084;0.5178319017070784;2.1458585858585857;5.86456579580704;23;28;9;0.05;0.15;2
100;808;16.16;52;4;0.607883528335988;0.49589730015881417;2.174949494949495;3.5836929447763235;12;75;0;0.05;0.16;2
100;1035;20.7;44;5;0.6335122162725721;0.531248795157497;2.0436363636363635;2.6950199439740423;11;91;1;0.05;0.16;2
100;1009;20.18;42;7;0.6150211439822224;0.5274985734977834;2.063838383838384;11.37437695302639;32;12;2;0.05;0.16;2
100;786;15.72;37;3;0.5920921778695651;0.5041218901810688;2.25979797979798;5.395862309841225;18;31;3;0.05;0.16;2
100;729;14.58;41;4;0.5947135172064505;0.5032545109994232;2.286868686868687;5.464433991951557;18;27;4;0.05;0.16;2
100;967;19.34;89;8;0.6506350616066743;0.4978553658745818;1.8894949494949496;4.830936858126968;23;29;5;0.05;0.16;2
100;882;17.64;46;4;0.6282983856633748;0.514006723227149;2.153939393939394;4.52333657828583;21;33;6;0.05;0.16;2
100;829;16.58;37;4;0.6180816624876109;0.509200150206534;2.180808080808081;2.971762431401407;10;87;7;0.05;0.16;2
100;816;16.32;40;5;0.5906830396928173;0.5081925406439273;2.2266666666666666;2.9180242697314336;10;83;8;0.05;0.16;2
100;895;17.9;45;5;0.6178335875092157;0.517507641160384;2.136767676767677;5.695004555252987;23;28;9;0.05;0.16;2
100;816;16.32;54;4;0.6096041194130021;0.4962566154640506;2.1575757575757577;3.6023388316510214;12;77;0;0.05;0.17;2
100;1048;20.96;44;5;0.6345229374897042;0.5310594081770951;2.0305050505050506;2.655247999031997;11;91;1;0.05;0.17;2
100;1023;20.46;43;7;0.6194250236754503;0.5277422654052671;2.041212121212121;5.023568681999954;21;49;2;0.05;0.17;2
100;793;15.86;38;3;0.5959771757110499;0.507106269388933;2.252121212121212;4.795674144312269;16;44;3;0.05;0.17;2
100;739;14.78;44;4;0.5970219505165222;0.500835122882367;2.2648484848484847;4.421767569594379;14;55;4;0.05;0.17;2
100;984;19.68;93;8;0.655719909019327;0.4960552268244576;1.8517171717171717;4.478247009282516;22;33;5;0.05;0.17;2
100;890;17.8;47;4;0.6289820280648967;0.5146673651126245;2.144848484848485;4.407042386117259;21;33;6;0.05;0.17;2
100;835;16.7;39;4;0.6219273688315617;0.5121590839130703;2.177171717171717;8.7454767009583;28;13;7;0.05;0.17;2
100;831;16.62;41;5;0.5939621495181502;0.5063764561618639;2.1983838383838386;6.2201191801979885;25;19;8;0.05;0.17;2
100;902;18.04;45;5;0.6213848889096815;0.5179549283909014;2.1294949494949496;5.699179949557011;23;29;9;0.05;0.17;2
100;829;16.58;61;4;0.6130616140239291;0.4926892467147881;2.1244444444444444;3.5233201101127176;12;77;0;0.05;0.18;2
100;1068;21.36;44;5;0.6383987612719058;0.5313600871617941;2.014747474747475;2.640013589293284;11;93;1;0.05;0.18;2
100;1027;20.54;44;7;0.6200726355152767;0.5276464629410772;2.036767676767677;4.944056747322929;21;49;2;0.05;0.18;2
100;805;16.1;39;3;0.6024799402554826;0.5076410113920533;2.2284848484848485;4.651965835655689;16;45;3;0.05;0.18;2
100;744;14.88;44;4;0.5989664674131268;0.5009018900478394;2.2555555555555555;4.34943005766981;14;55;4;0.05;0.18;2
100;996;19.92;95;8;0.6602316644029504;0.49448969813128896;1.8315151515151515;3.943890665946256;19;45;5;0.05;0.18;2
100;898;17.96;48;4;0.6293425643098949;0.5154130702836005;2.13010101010101;4.610389548453634;22;31;6;0.05;0.18;2
100;843;16.86;39;4;0.6219327848362045;0.5110467222021007;2.168282828282828;3.1124702082640265;11;80;7;0.05;0.18;2
100;838;16.76;41;5;0.5955599390930014;0.505676698504235;2.1905050505050503;3.2948288893378646;13;61;8;0.05;0.18;2
